video_id,title,label,predicted_label,confidence
OoUO4vjgM4c,তিন দিনে আফগানিস্তানের পাঁচ প্রাদেশিক রাজধানী তালেবানের দখলে || [Taleban Situation],0,1,0.99980277
CGGnzSqgv5o,"গায়ে শার্ট, চোখে চশমা, খালেদা জিয়ার ডানহাত ছিল মেয়েটি! দেখুন কে এই মেয়ে কি তার পরিচয়",0,1,0.99931276
_tlF5ydEDXA,মুহূর্তেই ধ্বংসস্তূপে পরিণত হয় দেশটির পশ্চিমাঞ্চল || Haiti Earthquake,1,0,0.7686853
VXRYXYzkp_o,ব্রেকিং.. পরীমনিকে রিমান্ডে নিয়ে কঠিন মাইর.. সাংবাদিকদের একি বললেন অপু বিশ্বাস!! দাবি জাফর উল্ল্যাহ,1,0,0.93639076
US8YfFZJOH8,মুশফিকুর রহিমের জীবন কাহিনী। ভার্সিটির সেরা ছাত্র থেকে যেভাবে হলেন জনপ্রিয় ক্রিকেটার মুশফিক,1,0,0.99647516
8Jncwzj1OHU,মহাকাশ ঘুরে ফিরলেন ব্রিটিশ ধনকুবের রিচার্ড || Virgin Galactic's Unity,0,1,0.99666756
BBA1ZAsHv1s,আজ ও কাল রাতে দেশে আসছে ৪৫ লাখ করোনার টিকা || [Bd Vacination Update],1,0,0.9997111
vsFWrL2YUfE,নির্দিষ্ট সময়ে বিক্রি করতে ব্যর্থ টিসিবি || TCB Track,0,1,0.92380136
ENhXGC4liLc,বর্তমান বিশ্বের সবচাইতে পাওয়ারফুল ৫ জন মুসলিম নেতা। যাদের গর্জনে কাঁপে সারা পৃথিবী।5 Powerful Leader,1,0,0.62100726
Xy4VMIYQ3TA,ব্রেকিং নিউজ! পুলিশকে পিটিয়ে হাড্ডি ভাঙ্গল যুবলীগ নেতা? ও এসআইকে ঝাড়ু পেটা করল এলাকাবাসী।Bangla News,0,1,0.9990558
yUMdelR0U-Y,"হোয়াইটওয়াশ মিশন: বল করছে টাইগারররা, জিম্বাবুয়ে ব্যাটিংয়ে || Zimbabuye Bangladesh",0,1,0.98761916
KiuS1Xp53KA,"জয়ের ধারায় আবাহনী, ৭ উইকেটে হারিয়েছে গাজী গ্রুপকে || [DPL 5th round]",0,1,0.9992493
9NZC2gb2leg,চিরুনি অভিযানে সাড়ে ৭ লাখ টাকা জরিমানা || Dhaka City,0,1,0.8190593
ACGBhwAfMqA,বগুড়ায় সর্বোচ্চ শনাক্ত প্রায় ১৮ শতাংশ || Bogura Covid situation,1,0,0.9999286
khSWx1SFgus,চারদিকে সবুজের সমারোহ;  দূষণমুক্ত পরিবেশ || #Nature of Dhaka,1,0,0.99211055
3nhdcRY3Qww,উদ্যোগ নিয়ে এগিয়ে এসেছে স্বেচ্ছাসেবী সংগঠন নিষ্পাপ অটিজম ফাউন্ডেশন ।। Autistic Child Eid,0,1,0.7379082
DhESX8gA7wk,বড় বোনের বিয়েতে সিনেমা স্টাইলে অপহরন ছোট বোন। অবাক করা এই কাজ করল বর নিজেই। দেখুন তোলপাড় সারাদেশ,1,0,0.98383594
LfgdNFFKtaw,আপন চাচি ও চাচির মেয়েকে একসাথে বিয়ে করল ভাতিজা ।। এটাও দেখার বাকি ছিল?,1,0,0.99974936
jPgEfeJLwhk,অনেকেই আজ যেতে পারবেন না কাজে ।। Saver Workers Return,1,0,0.9943546
KYPGvgGtJdk,"বার্থ সার্টিফিকেটের সাথে মিলবে একটি করে ফল, ঔষধি বা কাঠের গাছ || Tree Gift with Birth Certificate",1,0,0.99707377
ED_IhGw2I1U,ভাই হয়ে সে আমার সব কেড়ে নিয়েছে! বিয়ে না করলে নিজেকে শেষ করে দিবো। বিয়ের দাবিতে প্রেমিকের বাড়িতে অনশন,0,1,0.98640895
mVSeHrgFWlc,ব্ল্যাক ফাঙ্গাসের ব্যয়বহুল চিকিৎসায় সরকারিভাবে ঔষধ সরবরাহের পরামর্শ || #Black fungus,1,0,0.5109694
