video_id,title,human_label,promise_text,transcript_path,summary_path,speech_coverage_percent,semantic_divergence,summary_source,usable_for_training,hook_promise_source,hook_ocr_usable,from_spike
unDUZmRvEhI,এই মাত্র পাওয়া! ভাস্কর্যের বিপক্ষে আন্দলোন চলবেই! কেউ থামাতে পারবে না হেফাজতের হুংকার।ও ক্ষেপেছে নুর,clickbait,এই মাত্র পাওয়া! ভাস্কর্যের বিপক্ষে আন্দলোন চলবেই! কেউ থামাতে পারবে না হেফাজতের হুংকার।ও ক্ষেপেছে নুর,data/transcripts/unDUZmRvEhI\raw_transcript.txt,data/transcripts/unDUZmRvEhI\summary.txt,96.55,0.3732284307479858,gemini,True,title,False,True
o_O4xdi57pQ,এই মাত্র পাওয়া! আদালতে র‌্যাবের সাথে তেরামি করে কঠিন ধোলাই খেল ইরফান! ও রক্ষা পেলনা হাজি সেলিমও,clickbait,এই মাত্র পাওয়া! আদালতে র‌্যাবের সাথে তেরামি করে কঠিন ধোলাই খেল ইরফান! ও রক্ষা পেলনা হাজি সেলিমও,data/transcripts/o_O4xdi57pQ\raw_transcript.txt,data/transcripts/o_O4xdi57pQ\summary.txt,96.0,0.4281457662582397,gemini,True,title,False,True
S88zAu6f0m4,এবার শিপ্রার আরো একটি খারাপ ভিডিও ভাইরাল। আর রক্ষা হবেনা পড়েছে কঠিন বিপদে। Just Go | Shipra | Sinha,clickbait,এবার শিপ্রার আরো একটি খারাপ ভিডিও ভাইরাল। আর রক্ষা হবেনা পড়েছে কঠিন বিপদে। Just Go | Shipra | Sinha,data/transcripts/S88zAu6f0m4\raw_transcript.txt,data/transcripts/S88zAu6f0m4\summary.txt,95.34,0.4965078234672546,gemini,True,title,False,True
0qQTzPvw_ig,এবার নাতনিকে বিয়ে করলো রাজশাহীর বুড়ো মেয়র! কুমিল্লার সেই রিক্সাচালকের বিচার হলে ওনার কি হবে না?,clickbait,এবার নাতনিকে বিয়ে করলো রাজশাহীর বুড়ো মেয়র! কুমিল্লার সেই রিক্সাচালকের বিচার হলে ওনার কি হবে না?,data/transcripts/0qQTzPvw_ig\raw_transcript.txt,data/transcripts/0qQTzPvw_ig\summary.txt,98.1,0.4283652901649475,gemini,True,title,False,True
5-1l3UcUtYI,ভয়াবহ গোপন তথ্য ফাঁস! ফেতনা সৃষ্টি করছেন আজহারী? দেখুন আলেম সমাজ কি বলছে ও চলছে পাল্টাপাল্টি অভিযোগ,clickbait,ভয়াবহ গোপন তথ্য ফাঁস! ফেতনা সৃষ্টি করছেন আজহারী? দেখুন আলেম সমাজ কি বলছে ও চলছে পাল্টাপাল্টি অভিযোগ,data/transcripts/5-1l3UcUtYI\raw_transcript.txt,data/transcripts/5-1l3UcUtYI\summary.txt,95.56,0.2539719343185425,gemini,True,title,False,True
DHaQUpweOi8,ব্রেকিং নিউজ! ২০০ গাছ লাগিয়ে ১১ কোটি টাকার দূর্নীতি! দূর্নীতিতে দেশটা শেষ! এমপি বুবলির ভয়াবহ কান্ড,clickbait,ব্রেকিং নিউজ! ২০০ গাছ লাগিয়ে ১১ কোটি টাকার দূর্নীতি! দূর্নীতিতে দেশটা শেষ! এমপি বুবলির ভয়াবহ কান্ড,data/transcripts/DHaQUpweOi8\raw_transcript.txt,data/transcripts/DHaQUpweOi8\summary.txt,96.59,0.4620310068130493,gemini,True,title,False,True
-SpHq_CW38Y,এই মাত্র পাওয়া! সব স্বীকার করে যে ভয়াবহ গোপন তথ্য দিল অনিক সরকার। একে একে বেরিয়ে আসছে সব তথ্য,clickbait,এই মাত্র পাওয়া! সব স্বীকার করে যে ভয়াবহ গোপন তথ্য দিল অনিক সরকার। একে একে বেরিয়ে আসছে সব তথ্য,data/transcripts/-SpHq_CW38Y\raw_transcript.txt,data/transcripts/-SpHq_CW38Y\summary.txt,92.09,0.2936000227928161,gemini,True,title,False,True
Cwi8KxAqaho,এক স্বার্থপর প্রেমিকার জন্য কিডনী বিক্রির বাস্তব ঘটনা। যা সারা দুনিয়ার মানুষকে স্তব্ধ করে দিয়েছিল,clickbait,"এক স্বার্থপর প্রেমিকার জন্য কিডনী বিক্রির বাস্তব ঘটনা। যা সারা দুনিয়ার মানুষকে স্তব্ধ করে দিয়েছিল
নবম-ষৌচামব: দমামেনা নঙচটব",data/transcripts/Cwi8KxAqaho\raw_transcript.txt,data/transcripts/Cwi8KxAqaho\summary.txt,86.82,0.2123790979385376,gemini,True,title+ocr,True,True
8-YmrdtPzx0,পৃথিবীর সবচেয়ে ভয়ংকর ১০টি যুদ্ধ বিমান! যা কোন দেশকে নিমিষেই শেষ করে দিতে পারে। Top 10 Fighter Jet,clickbait,পৃথিবীর সবচেয়ে ভয়ংকর ১০টি যুদ্ধ বিমান! যা কোন দেশকে নিমিষেই শেষ করে দিতে পারে। Top 10 Fighter Jet,data/transcripts/8-YmrdtPzx0\raw_transcript.txt,data/transcripts/8-YmrdtPzx0\summary.txt,91.14,0.3172768354415893,gemini,True,title,False,True
Nimw7-mZTSw,কাতারের মাথা নষ্ট করা কিছু গোপন তথ্য! যা জানলে কাতার সম্পর্কে আপনার ধারনাই পাল্টে যাবে। Facts Qatar,clickbait,কাতারের মাথা নষ্ট করা কিছু গোপন তথ্য! যা জানলে কাতার সম্পর্কে আপনার ধারনাই পাল্টে যাবে। Facts Qatar,data/transcripts/Nimw7-mZTSw\raw_transcript.txt,data/transcripts/Nimw7-mZTSw\summary.txt,89.0,0.3452956676483154,gemini,True,title,False,True
