video_id,title,label,from_spike
unDUZmRvEhI,এই মাত্র পাওয়া! ভাস্কর্যের বিপক্ষে আন্দলোন চলবেই! কেউ থামাতে পারবে না হেফাজতের হুংকার।ও ক্ষেপেছে নুর,clickbait,True
o_O4xdi57pQ,এই মাত্র পাওয়া! আদালতে র‌্যাবের সাথে তেরামি করে কঠিন ধোলাই খেল ইরফান! ও রক্ষা পেলনা হাজি সেলিমও,clickbait,True
S88zAu6f0m4,এবার শিপ্রার আরো একটি খারাপ ভিডিও ভাইরাল। আর রক্ষা হবেনা পড়েছে কঠিন বিপদে। Just Go | Shipra | Sinha,clickbait,True
0qQTzPvw_ig,এবার নাতনিকে বিয়ে করলো রাজশাহীর বুড়ো মেয়র! কুমিল্লার সেই রিক্সাচালকের বিচার হলে ওনার কি হবে না?,clickbait,True
5-1l3UcUtYI,ভয়াবহ গোপন তথ্য ফাঁস! ফেতনা সৃষ্টি করছেন আজহারী? দেখুন আলেম সমাজ কি বলছে ও চলছে পাল্টাপাল্টি অভিযোগ,clickbait,True
DHaQUpweOi8,ব্রেকিং নিউজ! ২০০ গাছ লাগিয়ে ১১ কোটি টাকার দূর্নীতি! দূর্নীতিতে দেশটা শেষ! এমপি বুবলির ভয়াবহ কান্ড,clickbait,True
-SpHq_CW38Y,এই মাত্র পাওয়া! সব স্বীকার করে যে ভয়াবহ গোপন তথ্য দিল অনিক সরকার। একে একে বেরিয়ে আসছে সব তথ্য,clickbait,True
Cwi8KxAqaho,এক স্বার্থপর প্রেমিকার জন্য কিডনী বিক্রির বাস্তব ঘটনা। যা সারা দুনিয়ার মানুষকে স্তব্ধ করে দিয়েছিল,clickbait,True
8-YmrdtPzx0,পৃথিবীর সবচেয়ে ভয়ংকর ১০টি যুদ্ধ বিমান! যা কোন দেশকে নিমিষেই শেষ করে দিতে পারে। Top 10 Fighter Jet,clickbait,True
Nimw7-mZTSw,কাতারের মাথা নষ্ট করা কিছু গোপন তথ্য! যা জানলে কাতার সম্পর্কে আপনার ধারনাই পাল্টে যাবে। Facts Qatar,clickbait,True
v3jHYhg3vXQ,ব্রাজিলের কিছু মাথা নষ্ট করা অদ্ভুত তথ্য। যা ব্রাজিল সম্পর্কে আপনার সব ধারণা পাল্টে দিবে।,clickbait,True
U5vQZUjuQQc,আ.লীগের হয়ে নির্বাচন করবে মাশরাফি বললেন মাশরাফির বাবা। মাশরাফির এই ভুল ডিসিশনে ক্ষিপ্ত দেশবাসী,clickbait,True
